"Species","ForStrat_terrestrial","ForStrat_aquatic","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","weaning_d","litters_or_clutches_per_y","longevity_y","adult_svl_cm","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","diet_breadth","development_d","mass_specific_production","log_litterclutch_size_n","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","log_female_body_mass_g","log_male_body_mass_g","tnc_ecoregion_breadth","log_range_size","X2.1_AgeatEyeOpening_d","X9.1_GestationLen_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X6.2_TrophicLevel","X13.3_WeaningHeadBodyLen_mm","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","log_DispersalAge_d","log_HomeRange_km2","log_HomeRange_Indiv_km2","log_PopulationDensity_n.km2","log_PopulationGrpSize","log_HuPopDen_Min_n.km2","log_HuPopDen_Mean_n.km2","log_HuPopDen_5p_n.km2","log_NeonateHeadBodyLen_mm","log_WOS_hits","Afrosoricida","Artiodactyla","Carnivora","Cetacea","Chiroptera","Cingulata","Dasyuromorphia","Didelphimorphia","Diprotodontia","Erinaceomorpha","Lagomorpha","Macroscelidea","Monotremata","Perissodactyla","Pholidota","Primates","Proboscidea","Rodentia","Sirenia","Soricomorpha","Tubulidentata","traits_wild"
"Gerbillus syrticus",1,0,1,1,0,383.32991671418,540.622696776801,75.1471124340852,2.15506619855891,2.99380115095427,13,NA,NA,NA,NA,0.3,71.3723272152014,0.5371670681404,1.52839834561407,-0.375657959914519,1.26710582729859,3.07101227281035,3.14673514709052,3.84874182004249,3.08964561173209,7.19909696719336,11.7691573452932,NA,108.865023823515,NA,NA,NA,NA,30.9,30.6,30.75,17.9,17.6,17.75,0,11,195,141,922,NA,-2.30220829396186,-2.80334357303873,6.55348746282779,NA,1.09861228866811,1.09861228866811,1.09861228866811,4.07590513087746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Gerbillus principulus",1,0,1,1,0,349.836301557371,655.289140175977,75.3695969797812,2.41951448384912,3.133712187631,12.8838726394488,NA,NA,NA,NA,0.3,88.8848469225162,0.403576814032646,0.820554787587715,-0.324774148924598,1.10886019690646,3.20007876176892,3.58490686373096,3.96954488272905,3.5267998483634,2,7.78538579841532,NA,108.78107646055,NA,NA,NA,NA,16.15,14.66,15.4,27.18,26.19,26.68,0,13.55,250.71,578.7,1425.44,NA,-1.99556900722048,-2.81262567182468,6.3327190594393,NA,0,0.2390169004705,0,3.97833726469782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Gerbillus muriculus",1,0,1,1,0,308.944933770724,540.622696776801,73.7976271915499,2.7726065732628,2.844059248781,13,NA,NA,NA,NA,0.3,78.0558152835365,0.442963065049871,0.867767949923216,-0.294953175288575,1.10882618014055,3.16344053740289,3.50915452316725,4.41633673883633,3.49562746595798,1,6.26138621177186,NA,108.878158786155,NA,NA,NA,NA,15.04,13.89,14.46,27.04,26.09,26.57,0,18.7,244.39,537.73,1577.31,NA,-2.30220829396186,-2.80383754204929,6.59456950106098,NA,0,0.587786664902119,0,4.08562552471925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Gerbillus nanus",1,0,1,1,0,69.8892815775785,581.06186587628,27.79,3,4.49166667,9.6885,NA,NA,0.129,311.95,0.3,21.44196,0.846771410465719,1.40609698841607,-1.7301960702785,0.368020245057942,2.66561897141028,3.34638914516716,3.7008879005798,3.48908937101853,24,16.1391797534994,21,20.97,NA,NA,NA,NA,36.92,6.48,21.7,78,-10.55,33.72,0.12,14.14,224.7,194.05,1307.07,NA,-3.31002291196264,-2.81127176868991,5.45292573914487,NA,1.3327212788409,3.60956564739421,0.22518072112953,4.05473632081621,3.29583686600433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones tamariscinus",1,0,1,0,0,261.452434872926,705.741161417419,17.24208,2,4.075,17.5052415199463,NA,NA,NA,NA,0.4,43.9805892770982,0.20625,1.41706601978664,-2.60474520157092,1.09861228866811,2.73793257558408,4.78749174278205,3.79600783020859,4.74255328893226,16,14.7587363582926,NA,108.712054874489,NA,NA,NA,NA,50.84,36.71,43.78,96.26,45,70.63,0.02,17.47,73.67,232.47,649.51,NA,-3.06340719612193,-2.82804436189907,6.02457858466793,NA,1.67500373295857,2.63547950826737,0.00882251532859406,3.44181317249738,3.36729582998647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones libycus",1,0,0,0,1,91.308,179.199625212875,30.18,2.29090854107904,5.17916667,16.8138761643109,NA,NA,NA,NA,0.4,25.56624,0.351075585697532,1.60341984010854,-1.16925155984411,1.67335123817775,3.80666248977032,4.51447932070359,3.75681001414495,4.38206529979837,27,15.8737274590823,NA,25.43,NA,NA,NA,NA,47.64,21.1,34.37,90.64,-15.02,37.81,0.1,12.18,177.09,167.3,1088.4,NA,-3.06340719612193,-2.84352306818073,6.09786179282811,NA,1.55402065790496,3.24998681989325,-0.257954884449003,3.65819905483214,4.81218435537242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones meridianus",1,0,1,1,1,103.898295952054,677.686725375662,21,3,6.47916667,14.8150260824289,NA,NA,NA,NA,0.4,23.43572,0.949671841671725,1.7227665977411,-1.76186005484372,1.29427575203064,2.86767296140782,3.97029191355212,3.61994334420928,4.01899408383257,24,15.6340024680506,NA,23.95,NA,NA,NA,NA,51.59,27.74,39.67,116.66,45.72,81.19,0.06,17.23,74.16,207.58,727.93,NA,-3.06340719612193,-2.82295928607409,5.98233786045901,NA,1.68583083737698,2.7638002162067,-0.308060166379496,4.00667380555524,4.34380542185368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones arimalius",1,0,1,1,1,331.360367602546,655.289140175977,75.8712977676679,1.41802486553027,4.40476082487981,17.5535698898035,NA,NA,NA,NA,0.4,94.3941004866394,0.327667722320967,1.24991849127116,-0.249147215260862,1.64380937821818,4.00866840787235,4.4950204424871,4.28267888414995,4.38206529979837,1,12.4572118595796,NA,108.78107646055,NA,NA,NA,NA,24.13,21.93,23.03,54.39,47.17,50.78,0.05,7.3,254.94,123.01,1251.46,NA,-1.99556900722048,-2.80604567533638,5.7786049136235,NA,0.693147180559945,1.73518911773966,0.693147180559945,3.96169999933799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones shawi",1,0,1,1,1,97.24248,114.811313720617,26.0685,3.82,4.65833333,18.3185411000476,NA,NA,NA,NA,0.4,25.48748,0.686882710449927,1.72722094809048,-2.4585626405284,1.48274025938814,3.2188758248682,4.92580335857956,4.31522590176608,4.68160750232193,5,13.3381717686771,NA,24.8,NA,NA,NA,NA,37.34,28.56,32.95,32.75,-11.25,10.75,0.15,18.32,182.13,251.97,1169.15,NA,-3.06340719612193,-2.85117613478264,6.40581439441206,NA,0.250914321238299,4.47141019580857,0,3.59262917321147,4.48863636973214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Meriones crassus",1,0,1,0,0,68.97,82,20.39212,2,5.6,15,NA,NA,NA,NA,0.4,23.5,0.554865424430642,1.38629436111989,-1.69588944616522,1.20896034583698,3.18419901096192,3.87743156065853,4.1032700858145,3.3167076438057,24,15.8398473349598,NA,23.5,NA,NA,1,NA,36.36,17.16,26.76,70.45,-17.1,26.67,0.12,7.01,219.3,108.69,1226.55,NA,-3.31002291196264,-2.85119081084872,5.73787339902661,NA,1.88787199764583,2.97756830292632,-0.259350372883098,3.54077896962634,4.7361984483945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
