"Species","ForStrat_terrestrial","ForStrat_aquatic","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","weaning_d","litters_or_clutches_per_y","longevity_y","adult_svl_cm","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","diet_breadth","development_d","mass_specific_production","log_litterclutch_size_n","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","log_female_body_mass_g","log_male_body_mass_g","tnc_ecoregion_breadth","log_range_size","X2.1_AgeatEyeOpening_d","X9.1_GestationLen_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X6.2_TrophicLevel","X13.3_WeaningHeadBodyLen_mm","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","log_DispersalAge_d","log_HomeRange_km2","log_HomeRange_Indiv_km2","log_PopulationDensity_n.km2","log_PopulationGrpSize","log_HuPopDen_Min_n.km2","log_HuPopDen_Mean_n.km2","log_HuPopDen_5p_n.km2","log_NeonateHeadBodyLen_mm","log_WOS_hits","Afrosoricida","Artiodactyla","Carnivora","Cetacea","Chiroptera","Cingulata","Dasyuromorphia","Didelphimorphia","Diprotodontia","Erinaceomorpha","Lagomorpha","Macroscelidea","Monotremata","Perissodactyla","Pholidota","Primates","Proboscidea","Rodentia","Sirenia","Soricomorpha","Tubulidentata","traits_wild"
"Tachyglossus aculeatus",1,0,1,1,0,552.425,548,185.04,0.58,49.5,37.5,NA,NA,2.327,303.85,0.1,19.86,6.85313140873955e-05,0,1.01091621550937,-0.982163476024863,6.23522412031347,8.06132912572422,7.40832469956727,8.14033836644883,16,15.8653533319666,NA,17.72,1,NA,3,NA,-0.89,-43.64,-22.26,153.63,113.14,133.39,0.04,44.83,209.86,476.82,1350.04,NA,-0.82098055206983,-0.478035800943,2.18270032213484,NA,1.43157195287196,1.26129787094521,-0.166439821051361,2.57239610497169,6.00141487796115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Zaglossus attenboroughi",1,0,1,0,0,537.683601241184,655.289140175977,144.499628049998,1.16792401859838,6.12729507478172,46.6966434445272,NA,NA,NA,NA,0.1,48.7769363906495,0.296116634212948,0.242704342397918,-0.187245189425236,4.32893091911837,6.7311497334065,8.00636756765025,7.29689741947193,7.3826459096565,1,2.73175503137917,NA,108.78107646055,NA,NA,NA,NA,-2.45,-2.59,-2.52,140.72,140.35,140.53,0.14,195,302.5,1702.5,1834.5,NA,-1.8146079830917,-2.74119945414263,4.44707100769596,NA,2.07944154167984,2.07944154167984,2.07944154167984,3.97833726469782,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Zaglossus bartoni",1,0,1,0,0,931.955264501875,571.227395183416,152,1,31,67.5,NA,NA,NA,NA,0.1,10,-0.0278559454658465,0,0,2.4879864631261,5.99146454710798,9.0995998544715,9.20758687181767,8.88962507425109,5,12.0684745117768,NA,20.7817671364396,NA,NA,NA,NA,-3.54,-9.9,-6.72,149.38,136.48,142.93,0.14,277.69,180.29,1679.27,1694.36,NA,-0.508052412119933,-2.68935721243765,2.76757671107821,NA,0,2.48989419129904,0.693147180559945,4.0418534164026,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Zaglossus bruijni",1,0,1,0,0,1496.2156661008,414.475655431816,152,1.64385067209449,31,67.5,NA,NA,6.493,303.95,0.1,10,0.160646960221659,0,0.229855571372995,2.33452710523897,5.99146454710798,9.21034037197618,8.92586071376084,9.00124554594762,11.7372363558174,10.397196280539,NA,10,1,NA,3,NA,-0.007690132,-4.14,-2.07,136.38,130.2,133.29,0.12,211.51,220.2,1735.9,1953,NA,1.20202589917742,-2.65964001518621,0.470003629245736,0,0.693147180559945,2.31451366385932,0.693147180559945,4.14139952462935,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Ornithorhynchus anatinus",1,0,1,1,1,645.23,548,113.485,1.1,17,41.918,NA,NA,1.931,307.15,0.2,14.74,-0.00737269089692227,0.693147180559945,-0.000684694349687224,0.919058868695176,5.70775790383532,7.11069612297883,7.34034401209862,7.44303585063099,11,13.7119683936403,NA,12.48,1,NA,3,NA,-16.29,-43.64,-29.96,153.63,136.53,145.08,0.04,76.73,156.53,781.2,1206.89,NA,-2.65926003693278,-2.65926003693278,3.08346964020852,NA,-0.214975563185735,3.21326008608257,0,3.94083257275831,5.98141421125448,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Caluromys philander",1,0,1,1,0,309.26,306.899501697271,109.825,2,7.61666667,23.2135,NA,NA,NA,NA,0.5,23.995,0.00582091303837578,1.46787434811231,-0.787089378478304,-1.6094379124341,4.02651173191284,5.69788176633523,5.50546650722746,5.51745289646471,32,15.1269651727577,75,23.99,1,7,2,NA,12.2,-24.58,-6.19,-40.35,-72.87,-56.61,0.12,144.03,239.14,1356.51,1583.7,NA,-4.60914176226663,-3.91202300542815,4.13228240156249,NA,1.5957559734406,3.68084728241667,-0.190318358918425,2.30258509299405,4.24849524204936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Caluromys derbianus",1,0,1,1,0,240,240,120,2,6.33333333,26.55,NA,NA,1.194,308.15,0.5,21,0.188589585115275,1.12167756159911,-0.806272394051518,2.05923691446772,4.43705070765549,5.79909265446053,4.96959174392823,5.71447626932367,25,13.5825884213368,NA,22.8519043062554,1,NA,2,NA,20.73,-2.92,8.9,-76.63,-98.33,-87.48,0.14,189.71,234.61,1341.7,1596.59,NA,-2.44469923755836,-2.78938007843446,2.47317139356958,NA,0.693147180559945,3.97874663747105,1.09861228866811,4.02102320807551,2.56494935746154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Caluromys lanatus",1,0,1,1,0,339.591112203996,649.133475174861,76.2604192840438,3,5,28.415,NA,NA,NA,NA,0.5,75.0455890797274,0.0640243902439024,0.916290731874155,-1.27536910276997,1.25276296849537,4.37536637764718,6.01615715969835,5.98847079234798,5.87408767895441,35,15.4467106593281,NA,108.788520340466,1,NA,2,NA,9.07,-28.1,-9.51,-53.2,-77.39,-65.29,0.13,175.31,245.59,1392.87,1501.45,NA,-3.28127540128936,-2.75758348180171,3.61964586241489,NA,1.33613195743971,1.67896397508271,-0.143741799498152,3.7059781831951,2.39789527279837,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Caluromysiops irrupta",1,0,1,0,0,409.965078017614,536.087678103842,117.5,1.61596805568762,7.8,29,NA,NA,NA,NA,0.4,13,0.166942460190441,0.693147180559945,-0.182157139221223,0.409638315599753,4.36156490638881,5.55094204718442,4.95536961724151,5.73700041583516,3,12.113492924234,NA,20.8638382812956,1,NA,2,NA,-9.34,-12.69,-11.01,-61.99,-73.48,-67.73,0.27,189.96,246.03,1362.63,1563.51,NA,-2.45469725358577,-2.74265816850944,2.18041745901984,NA,1.9346566369918,1.25561603747777,-0.00171526023285431,4.03828616998077,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Glironia venusta",1,0,1,0,0,176.785571325839,506.159647165619,68.535019371813,2.49284365140218,1.5,19.0565,NA,NA,NA,NA,0.4,77.6742855917501,0.345612768811944,1.38629436111989,-0.279377607313035,1.67488315909176,3.97756022428498,4.9416424226093,4.18459695575296,4.64439089914137,20,14.8746486948024,NA,108.821653104243,NA,NA,2,NA,0.04,-17.67,-8.81,-55.81,-78.78,-67.29,0.15,176.89,245.88,1378.68,1492.08,NA,-3.34189157598062,-2.78264401748963,4.05981514393987,NA,1.73878837355742,1.53255686809814,-0.0627245155662319,4.04239627460717,2.19722457733622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Chironectes minimus",1,0,1,0,0,304.4,293.304968456949,108.36,1.1,3,29.775,NA,NA,2.793,308.15,0.3,57.9397692901981,0.0654816930553018,1.28647402583768,-0.000684694349687224,3.44207160495419,4.24849524204936,6.75227037614174,6.69063391758505,6.5347226163685,58,15.6441633706438,41.5,108.56799640495,1,4,2,NA,18.97,-32.23,-6.63,-41.14,-100.29,-70.72,0.11,161.92,230.68,1357.31,1522.37,NA,-3.26894119117404,-2.79699392718555,3.49239977372958,NA,1.14695859617301,3.74997455347375,0.274419562628209,4.06941302360803,3.40119738166216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Didelphis aurita",1,0,1,0,0,178,240,100,2,4,39.635,NA,NA,NA,NA,0.4,14,0.00194108055223394,1.82454929205105,-0.857156938437369,-1.71479842809193,4.56387933157021,7.04740851979732,7.0475172213573,7.40853056689463,9,14.184346983627,NA,20.8653300025448,NA,NA,2,NA,-8.04,-27.32,-17.68,-35.1,-57.91,-46.51,0.06,126.98,207.59,1212.17,1376.83,NA,-3.53709526711725,-2.735144075011,3.81153946684982,NA,0.693147180559945,4.60856441905611,2.19722457733622,2.53696178771409,4.99721227376411,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Didelphis imperfecta",1,0,1,0,0,315.68,276.867282889608,116.5,1.5,1.64166667,36.069,NA,NA,NA,NA,0.2,12,-0.0313653250644547,1.93152141160321,-0.313820401586884,0.88375938588379,5.31263231785294,6.93777028782524,6.93340895001413,7.14952429441951,7,13.1813545888917,NA,20.7297112247299,NA,NA,NA,NA,6.7,2.81,4.75,-60.33,-66.11,-63.22,0.25,161.83,231.67,1625.85,1677.69,NA,-3.06859537074467,-2.73295753629354,3.25427628132176,NA,2.02439825133872,0.0392207131532813,0.403957045590369,4.02341017763509,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Didelphis marsupialis",1,0,1,0,0,178,240,100,2,4,39.635,NA,NA,3.31,308.15,0.4,14,0.00194108055223394,1.82454929205105,-0.857156938437369,-1.71479842809193,4.56387933157021,7.04740851979732,7.0475172213573,7.40853056689463,65,16.048145063228,NA,14,1,13,2,NA,23.89,-18.3,2.79,-44.35,-98.86,-71.61,0.13,175.63,248.26,1421.55,1599.94,NA,-1.77195684193188,-1.96611285637283,4.25561270981822,NA,1.24876686443154,2.98112612116463,0.168709494796355,2.53280701230972,5.92425579741453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Didelphis pernigra",1,0,1,0,0,315.68,276.867282889608,116.5,1.5,1.64166667,36.069,NA,NA,NA,NA,0.4,12,-0.0313653250644547,1.93152141160321,-0.313820401586884,0.996051329978848,5.31263231785294,6.93777028782524,6.96212890061902,7.14952429441951,23,13.8486821333479,NA,20.8018728608097,NA,NA,NA,NA,11.082854403098,0.354448465239701,6.21593599278223,35.6342968411827,14.9486051966378,25.2694182755833,NA,141.022036834566,181.880622710191,872.824439305634,1347.37796954487,NA,-3.06859537074467,-2.7451488119816,3.69439947013637,NA,2.03967047042608,1.95361634804012,0.558658774058643,4.0124521589211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Didelphis virginiana",1,0,1,0,0,184,241.5,100,2,4.17916667,40.27,NA,NA,5.299,308.15,0.4,12.345,0.00140933191940615,1.89386469216521,-1.03740321649959,-1.89711998488588,4.8283137373023,7.25453139074162,7.0475172213573,7.40853056689463,34,15.6127930766614,NA,12.69,1,13,2,195.2,45.32,9.91,27.61,-68.95,-110.52,-89.73,0.07,83.01,164.87,846.78,1131.84,4.67749084756772,-0.544727175441672,-0.673344553263766,2.89480635496403,NA,-0.869238853976455,4.10610842914234,0,2.62466859216316,7.21670948670946,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Didelphis albiventris",1,0,1,0,0,315.68,276.867282889608,116.5,1.5,1.64166667,36.069,NA,NA,NA,NA,0.4,12,-0.0313653250644547,1.93152141160321,-0.313820401586884,0.812116519414214,5.31263231785294,6.93777028782524,6.92617120718402,7.14952429441951,21,15.7317808715785,NA,12,NA,13,2,NA,9.41,-41.21,-15.9,-34.79,-77.85,-56.32,0.08,97.1,187.04,964.09,1284.45,NA,-5.51547437303367,-5.16728910414163,5.99146454710798,NA,-0.303733910072721,3.58212908416706,0,4.05220759478902,5.78996017089725,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus formosus",1,0,1,1,0,471.286461046763,555.682764515157,71.5139776545962,1.41076489107757,3.82764839153081,8.999,NA,NA,NA,NA,0.3,84.9503029480667,0.483646572908968,1.19494101127555,-0.0480350940867742,1.43349823725178,3.05448638964131,3.1302631665116,3.77900412166871,2.97244229277166,9.70842607531088,11.9913917538749,NA,108.937185459595,NA,NA,NA,NA,13.1385675440412,-0.727413224219757,6.21593599278223,35.6342968411827,14.9486051966378,25.2694182755833,NA,118.336739761847,172.545381989123,866.312467933066,1351.00258895733,NA,-2.30220829396186,-2.79762528925249,5.48808685484431,NA,1.8557326305208,1.71853312650674,0.685583305524456,4.0678317482053,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus emiliae",1,0,1,1,0,515.856192639785,559.738899615111,76.4405076869208,1.30751314109569,4.31525730776221,7.476,NA,NA,NA,NA,0.3,92.9924912764778,0.557811112887008,0.578060737240202,-0.190637426298082,0.505739280497412,2.59106479494224,2.30258509299405,3.74183680638532,2.57864565556065,6,12.0675327094553,NA,108.878158786155,NA,NA,NA,NA,10.8,-10.78,0.007042408,-34.79,-69.55,-52.17,0.1,134.36,250.01,1187.46,1591.55,NA,-2.30220829396186,-2.79591878550472,5.48030822304499,NA,-0.288246243981909,3.65867794538081,0,4.0983547554281,1.79175946922805,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus microtarsus",1,0,1,1,0,365.265,365.265,76.1,1,1,10.75,NA,NA,NA,NA,0.3,57.9696111257628,3.56326530612245,2.27212588550934,-0.594228551957471,2.19722457733622,2.19722457733622,3.19867311755068,2.99573227355399,3.40119738166216,6,13.3561128481448,NA,108.830549912906,NA,NA,NA,NA,-20.19,-29.62,-24.9,-41.62,-51.63,-46.63,0.06,132.51,182.46,1188.16,1299.07,NA,-3.33408787693674,-2.84793665594609,5.78430194322991,NA,1.6094379124341,5.16706907993808,2.56494935746154,3.86916194480273,3.76120011569356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus marica",1,0,1,1,0,178.314797777054,554.264855147716,30.5985086070538,2.75690319412978,4.36985806199728,9.915,NA,NA,NA,NA,0.3,53.8059250672059,0.864110534959178,1.79009141212736,-0.334219624313479,0.268616763417784,2.26992159837407,2.82731362192903,3.51913837016871,4.14824219133205,13,12.7041055311774,NA,108.830519884018,NA,NA,NA,NA,11.06,5.18,8.12,-62.52,-73.86,-68.19,0.11,99.07,229.53,1301.81,1682.5,NA,-2.30220829396186,-2.80183046719255,5.27050943289255,NA,1.38629436111989,4.53173890790221,1.79175946922805,4.07804614642913,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus dryas",1,0,1,1,0,391.119716235016,554.264855147716,74.5176692888006,1.89681238663004,1.60478214685678,9.5,NA,NA,NA,NA,0.3,83.821320752479,0.508694692536629,0.835412242080765,-0.115542014436269,1.01690881019924,3.00188406006686,2.90498666024725,4.07548870365065,2.76246727014576,3,10.3122205369154,NA,108.878158786155,NA,NA,NA,NA,9.95,4.97,7.46,-69.49,-73.58,-71.53,0.09,108.13,207.44,1338.35,1585.09,NA,-2.30220829396186,-2.79931194295872,5.60990228298198,NA,1.6094379124341,3.85566427175876,1.94591014905531,4.08524500326273,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus aceramarcae",1,0,1,1,0,390.300544336599,555.682764515157,76.3166832882774,2.56465396834433,3.73006874226368,8.3,NA,NA,NA,NA,0.3,84.8327031689422,0.479619590474714,0.909012857114897,-0.132350026270509,1.27866202659422,3.00271352996366,3.07961375753469,4.14826342482775,3.21429822659795,3,10.2254073063682,NA,108.878158786155,NA,NA,NA,NA,-16.37,-16.57,-16.47,-67.5,-67.7,-67.6,0.06,87.02,40.44,1087.22,1362.16,NA,-2.30220829396186,-2.80130574009696,6.48918023749102,NA,3.93182563272433,4.29004839777753,3.93182563272433,4.07928930070258,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus agricolai",1,0,1,1,0,573.926269366322,559.738899615111,71.5139776545962,1.2377662622024,4.15846758974028,7.476,NA,NA,NA,NA,0.3,84.7542561133737,0.557811112887008,0.999660349397367,-0.0461642090056692,0.685933750750677,2.59106479494224,2.30258509299405,3.59076065404992,2.57864565556065,10.6299555390528,12.0272216739671,NA,108.937185459595,NA,NA,NA,NA,13.1385675440412,-0.727413224219757,6.21593599278223,35.6342968411827,14.9486051966378,25.2694182755833,NA,118.336739761847,172.545381989123,865.627684687986,1350.47368131341,NA,-2.30220829396186,-2.79762528925249,5.50031597615714,NA,1.6927273828258,1.79674247655011,0.725908593412795,4.07402849637283,1.09861228866811,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus agilis",1,0,1,1,0,270,347.949269945833,65,2,6.075,10.0665,NA,NA,NA,NA,0.3,20,0.267441860465116,2.4423470353692,-0.975533596762591,-1.38629436111989,2.29236001568523,3.06805293513362,3.37221367008144,3.64283551561253,17,15.0989805622213,NA,22.4523234232016,NA,NA,NA,NA,-2.78,-34.63,-18.71,-37.89,-76.89,-57.39,0.1,118.36,229.76,1169.98,1393.8,NA,-3.31002291196264,-2.83863247536841,5.28990510438997,NA,1.63813252932521,2.95438931001961,-0.0327394010240165,2.60946216619558,4.04305126783455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Gracilinanus ignitus",1,0,1,1,0,538.855556544327,655.289140175977,74.2868371335134,1.20917078709991,3.53267671745339,12.5882428647365,NA,NA,NA,NA,0.3,94.4515658728425,0.483621530429331,1.01954081741442,-0.056067712081762,1.23490416216703,2.96279241586453,2.9391619220656,3.28335316254751,2.79411310632937,9.79998936431178,11.8107756400368,NA,108.84010313399,NA,NA,NA,NA,13.1385675440412,-0.727413224219757,6.21593599278223,35.6342968411827,14.9486051966378,25.2694182755833,NA,118.336739761847,172.545381989123,858.623588965191,1353.31039753191,NA,-1.99556900722048,-2.8103165384706,5.36789334298368,NA,1.8571780097091,1.76803412889658,0.600166966045682,4.00702864064529,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hyladelphys kalinowskii",1,0,1,0,0,423.224273490266,555.682764515157,90.2376996995798,1.11283618216688,5.72627777341127,9,NA,NA,NA,NA,0.4,89.1525573842838,0.532528606851986,0.460271550361752,-0.0766795800408371,1.02004530807283,2.80827593736103,2.7408400239252,3.46375194324663,3.06902057708277,19,14.6933591447656,NA,108.950320422235,NA,NA,NA,NA,11.4791094844008,0.0384289649970889,6.21593599278223,35.6342968411827,14.9486051966378,25.2694182755833,NA,140.439522805521,183.139708658851,882.688972554226,1346.55299814142,NA,-2.30220829396186,-2.7941815923449,5.27332636944924,NA,1.96874510345663,2.0212468474603,0.599744969085599,4.04305290860325,1.38629436111989,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lestodelphys halli",1,0,1,0,0,426.843821028834,506.159647165619,77.3349476022655,0.917184223934932,2.99166667,13.634,NA,NA,NA,NA,0.1,98.9058756678991,0.317644064528487,1.93999856746914,0.119838293511166,1.84218150364358,3.94638606684392,4.36016438781675,4.7702488191861,4.14391799116801,3,12.6441046588862,NA,108.880888136101,NA,19,2,NA,-32.58,-47.31,-39.94,-65.18,-71.3,-68.24,0.02,19.39,89.55,300.78,618.27,NA,-3.33156788483908,-2.79270006873931,6.00455686257254,NA,1.67421539954238,2.21375387928743,0.0384327503717146,4.07507224268795,2.70805020110221,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lutreolina crassicaudata",1,0,1,0,0,182.64,182.64,91.32,2,2.95416667,32.499,NA,NA,2.265,308.95,0.4,14,0.244646809178129,2.07944154167984,-0.389226530700569,0.803891854302019,4.35235934618015,6.10924758276437,6.195221384622,6.49488784110721,20,14.9303855850466,NA,14,NA,9,3,NA,10.22,-38.97,-14.37,-50.41,-66.13,-58.27,0.08,105.01,196.48,1143.42,1307,NA,-6.54984379986824,-6.27789566899146,5.16274565722678,NA,1.26287101278603,3.15316328150282,0.0211159569125349,4.03611972808925,3.61091791264422,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa murina",1,0,1,0,0,406.92,439.610109213874,154,2,12,15,NA,NA,NA,NA,0.5,30,0.00658301158301158,1.70474809223843,-0.966108115953354,-1.17118298150295,4.77068462446567,6.24997524225948,4.10436406658891,3.97968165390196,46,15.6796121531906,NA,13.27,1,11,2,NA,11.33,-23.1,-5.88,-34.79,-77.78,-56.28,0.11,174.96,250.83,1407.64,1593.86,NA,-4.31057701738398,-2.74745973018825,4.02177386938726,NA,1.53255857119152,2.96630346286318,-0.159962514363449,2.5772037890424,3.29583686600433,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa xerophila",1,0,1,0,0,273.96,273.96,60,1.15,1.08333333,13.1,NA,NA,NA,NA,0.5,14,0.631609713138654,2.06686275947298,-0.0232886480030264,-0.717020051670169,1.8796562193238,3.40119738166216,3.68887945411394,4.0943445622221,1,9.91857342167153,NA,20.729664894831,NA,NA,NA,NA,12.46,9.68,11.07,-68.22,-72.73,-70.47,0.12,58.71,258.42,1198.08,1904.41,NA,-3.33408787693674,-2.82005100394461,4.63593526370737,NA,1.79175946922805,4.1018165770608,2.07944154167984,4.0450959382412,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa tyleriana",1,0,1,0,0,165.69252974289,540.622696776801,62.3382718242348,2.11965682453679,4.55206604532813,11.764,NA,NA,NA,NA,0.5,60.6801442875117,0.518598466881787,1.09861228866811,-0.330354836903013,0.622304089778773,2.5971780740142,3.40119738166216,4.36131686415421,3.97526526821201,4,9.2353877627352,NA,108.830519884018,NA,4,NA,NA,6.68,0.92,3.8,-60.85,-67.7,-64.28,0.11,187.92,230.56,1643.66,1690.42,NA,-2.30220829396186,-2.80060878041594,4.3412417562281,NA,1.92900926819269,-0.653926467406664,0.536645208152812,4.08654029542912,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa rubra",1,0,1,0,0,166.830690755848,540.622696776801,59.6656735181938,2.50479759397996,5.47875454638324,16.5,NA,NA,NA,NA,0.5,71.1183100931972,0.816221475867173,2.19722457733622,-0.486848992295035,0.926570424017962,3.13642831392144,4.14297598363384,4.53008219018929,4.29624583092397,6,13.0322555430769,NA,108.830519884018,NA,NA,NA,NA,1.53,-9.78,-4.12,-73.33,-77.71,-75.52,0.16,192.7,261.74,1423.23,1451.63,NA,-2.30220829396186,-2.77567506557138,4.60717825966171,NA,0,1.66392609771817,0,4.06257372591488,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa quichua",1,0,1,0,0,406.92,438.483457627988,154,2.5,12,15,NA,NA,NA,NA,0.5,30,0.00822876447876448,1.70474809223843,-0.966108115953354,-1.17118298150295,4.77068462446567,6.24997524225948,4.11695366128859,3.97968165390196,1,10.2099233676314,NA,29.7407298353228,NA,NA,NA,NA,13.774721818653,-0.831806540095199,6.21593599278223,35.6342968411827,14.9486051966378,25.2694182755833,NA,134.373997739615,177.823310639641,866.144705369126,1336.51555617312,NA,-3.23776044868565,-2.79510942863289,4.50973805346639,NA,1.89072055949254,1.91749747862861,0.69107569071187,2.61788187808229,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa mexicana",1,0,1,0,0,406.92,440.519287729069,154,2,9.5,15,NA,NA,NA,NA,0.5,22,0.0599333333333333,1.75785791755237,-0.966108115953354,-1.17118298150295,4.77068462446567,4.0943445622221,3.8286413964891,4.06474409244581,21,13.7403935744453,NA,23.1700807784416,1,13,2,NA,23.86,7.19,15.53,-79.94,-99.61,-89.77,0.14,146.72,233.43,1258.35,1609.8,NA,-3.30771317590289,-2.8033016531733,4.19341775435432,NA,0.693147180559945,4.03441761364175,1.38629436111989,2.66398184505723,2.07944154167984,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa lepida",1,0,1,0,0,167.764892393543,552.396447535157,62.3572584319014,3.16494981190901,3.71708432138497,11.4,NA,NA,NA,NA,0.5,70.7298685028066,0.825624477066137,1.6094379124341,-0.278462644354677,0.326729967511871,2.02326133733636,2.77258872223978,3.48521390198351,3.50226778872566,27,15.2419728740901,NA,108.830519884018,NA,NA,NA,NA,6,-16.83,-5.41,-54.01,-77.66,-65.83,0.12,197.72,256.08,1464.93,1513.82,NA,-2.30220829396186,-2.77835157233259,4.2933844176243,NA,1.7441261116865,1.22377543162212,0.139849467649363,4.06755845502591,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa andersoni",1,0,1,0,0,249.033551721102,655.289140175977,57.0877523078766,2.87463103107515,7.71048414764107,12.7682752861864,NA,NA,NA,NA,0.5,69.4415117703646,0.963833802362266,2.19722457733622,-0.30281767128973,0.35410810507004,2.43566091788392,3.49650756146648,3.93178742459522,3.52307474363131,2,9.66942882084181,NA,108.733437558413,NA,NA,NA,NA,-13.42,-13.63,-13.52,-72.47,-72.68,-72.58,0.05,61.99,96.99,757.81,1306.5,NA,-1.99556900722048,-2.81107336965643,6.09769988525426,NA,2.70805020110221,3.38405122282718,2.70805020110221,3.97833726469782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Marmosa robinsoni",1,0,1,0,0,266.41,365,66.315,1.5,2,17.506,NA,NA,0.547,307.15,0.5,13.915,0.0133629441624365,2.27726728500976,-1.00274223834781,-2.40794560865187,2.37397508908072,4.59005654817804,4.30872657119161,4.34604648636027,18,13.284860717948,37.25,13.83,1,15,2,NA,17.44,-3.21,7.11,-60.51,-90.12,-75.32,0.12,141.3,245.93,1336.2,1688.48,NA,-6.46748302936857,-6.11929791861787,5.24190573262207,NA,0,4.39740773671218,1.38629436111989,2.54670014462508,2.89037175789616,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
